customerID,loanId,appilcationDate,LoanNumber,LoanAmount,InterestRate,TermDays,repaymentDueDate,repaymentPaidDate
839247458,3.02953E+11,21-12-18,1,7500,30,30,20-01-19,16-01-19
217540860,3.0296E+11,23-12-18,1,7500,30,30,22-01-19,29-12-18
522238092,3.03017E+11,08-01-19,1,7500,30,30,07-02-19,08-01-19
96754469,3.03E+11,04-01-19,1,7500,30,30,03-02-19,08-01-19
410354345,3.02952E+11,21-12-18,1,7500,30,30,20-01-19,17-01-19
27610141,3.02956E+11,22-12-18,6,45000,10,90,21-03-19,09-01-19
390748423,3.02942E+11,19-12-18,4,90000,5,180,18-06-19,15-01-19
642947351,3.02946E+11,19-12-18,3,45000,10,90,19-03-19,16-01-19
227382168,3.02953E+11,21-12-18,4,45000,10,90,20-03-19,16-01-19
380684555,3.02998E+11,03-01-19,4,30000,10,90,02-04-19,11-01-19
538656471,3.02906E+11,10-12-18,1,13500,18,45,24-01-19,07-01-19
67501201,3.02956E+11,22-12-18,4,19000,15,60,21-02-19,14-01-19
779403451,3.02942E+11,19-12-18,4,59500,7.5,180,18-06-19,16-01-19
706745423,3.02942E+11,19-12-18,1,32000,7.5,180,18-06-19,04-01-19
175032099,3.02949E+11,20-12-18,1,8000,36,45,03-02-19,23-12-18
756846529,3.02943E+11,19-12-18,7,16000,20,60,18-02-19,21-12-18
910833430,3.02985E+11,31-12-18,1,40500,12,120,30-04-19,04-01-19
789366247,3.02967E+11,25-12-18,7,9500,20,30,24-01-19,30-12-18
946771596,3.02919E+11,12-12-18,1,11000,27,45,26-01-19,15-12-18
363467351,3.02978E+11,28-12-18,1,11000,27,45,11-02-19,08-01-19
380721416,3.02935E+11,17-12-18,2,11000,27,45,31-01-19,06-01-19
476331961,3.02987E+11,31-12-18,1,11000,27,45,14-02-19,10-01-19
98589528,3.02934E+11,16-12-18,1,11000,27,45,31-01-19,19-12-18
63431769,3.02918E+11,12-12-18,1,11000,27,45,26-01-19,28-12-18
21449557,3.02983E+11,30-12-18,1,11000,27,45,13-02-19,07-01-19
826509061,3.02945E+11,19-12-18,1,11000,27,45,02-02-19,09-01-19
153423083,3.03028E+11,10-01-19,1,11000,27,45,24-02-19,10-01-19
369040052,3.02981E+11,29-12-18,1,11000,27,45,12-02-19,10-01-19
301885486,3.02991E+11,01-01-19,2,11000,27,45,15-02-19,04-01-19
134429368,3.02929E+11,15-12-18,1,11000,27,45,29-01-19,03-01-19
704636732,3.02988E+11,31-12-18,1,11000,27,45,14-02-19,10-01-19
695952615,3.02925E+11,14-12-18,1,11000,27,45,28-01-19,16-01-19
